,word_count,char_count,avg_words_per_sentence,sentence_count,paragraph_count,spelling_mistakes,grammar_mistakes,avg_chars_per_word,avg_syllables_per_word,punctuation_count,unique_word_count,ttr,long_word_count,short_sentence_count,complex_sentence_count,flesch_kincaid_grade,coleman_liau_index,Overall,Score Category,Question,Essay
0,258,1569,21.5,12,1,34,3,5.09,1.5,31,160,0.6201550387596899,71,0,3,10.5,11.49,6.5,Medium,,
1,298,1918,18.6,16,5,38,12,5.44,1.7,34,180,0.6040268456375839,105,0,4,11.7,13.58,5.5,Medium,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?","Poverty represents a worldwide crisis. It is the ugliest epidemic in a region, which could infect countries in the most debilitating ways. To tackle this issue, rich countries need to help those in need and give a hand when possible. I agree that there are several ways of aiding poor countries other than financial aid, like providing countries in need with engineers, workers, and soldiers who would build infrastructure. Building universities, hospitals, and roadways. By having a solid infrastructure, poor countries would be able to monetise their profits and build a stronger and more profitable economy which would help them in the long term. Once unprivilged countries find their niche, the major hurdle would be passed and would definitely pave the way for much brighter future. However, I do disagree that financial aid does not solve poverty, it does if used properly and efficiently. The most determining factor if financial aid would be the way to go, is by identifying what type of poor countries' representative are dealing with. Some countries will have a responsible leader and some will not, with that being said, implementing a strategy, to distinguish responsible leaders from others, would tailor the type of aid rich countries could use. An example, A clear report and constant observation would be applied to track the progress and how this type of aid is being monetized. In summary, types of aid varies from country to another, and tailoring the type of aid is of paramount importance to solve this problem that had huge toll on poor countries."
2,288,1797,20.6,14,5,34,8,5.24,1.6,30,175,0.6076388888888888,92,0,9,11.3,12.53,6.5,Medium,,
3,254,1489,27.6,9,5,17,22,4.98,1.6,19,138,0.5433070866141733,69,0,0,14.1,11.32,5.5,Medium,"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries should give other types of help to the poor countries rather than financial aid. To what extent do you agree or disagree?","Human beings are facing many challenges nowadays. Poverty is always an critical topic among countries, especially the poverty in developing countries. Developed countries frequently offer financial support to poor countries but the poverty still exist. Experts are arguing that developed countries should consider other solutions to help solve the poverty issue. I believe this is a much better direction compare to money support only.
Money is essential to many factors like food, contruction and hospital. With money provided by developed countries, govenment can improve the inforstructure, supporting poor family with food, building more houses for the poor people, builing more schools to support children's education, which is critical for people to get out of poverty.
But money cannot solve everything. The poverty caused by many reasons like lacking of resource and experienced governor. None of them could be solved by simply offering money to the goverment. Besides, money could cause a bad habit to the governor, they may reply on the financial support too much. If the financial support ended someday, which could happen anytime in the current circurmestance, it will cause big trouble again.
Devevloped countries should focus on a sophicated solution instead of just providing money. For example, they can help poor countries to build manufacturing industry, and give certain subsides for the customer who buy directly from them. Developed countries also can send experienced instructor to help governer in poor countries build a better government system to improve the efficiency of governance, authority of justice, to make sure company feel safe to invest in these developing counties, which could have a long term benifit for the people there.
Overall, I am agree that money could help to solve the poverty but without other support from different functions, it may not the best solution for poverty."
4,269,1618,26.9,10,4,19,3,5.02,1.6,21,143,0.5315985130111525,73,0,4,13.8,11.67,9.0,Good,,
5,291,1821,26.5,11,4,28,4,5.26,1.6,25,154,0.5292096219931272,88,0,5,13.6,12.89,5.5,Medium,"Some countries achieve international sports by building specialised facilities to train top athletes, instead of providing sports facilities that everyone can use. Do you think this is positive or negative development?Discuss both views and give your opinion.","Whether countries should only invest facilities and training on their elite athletes in order to win international competitions or give the same opportunities for all remains a big discussion. In this essay I will explain both views and why I think participation for all is the way which brings positive consequences.
Those supporting the first view believe that the odds to win are only high if the countries invest specialised facilities on their top sportmen. This is because, only athletes trained to reach the highest performance guarantee high scores. For example, it is known that China sends only its elite sportmen to compete in the Olympics and statistically, they usually win numbers of medals.
On the other hand, those who support sports facilities and training for all athletes consider that non-top ones can also have great opportunities to succeed. For instance, Diego Maradona, a Argentinian soccer player, never played in a professional field, on the contrary, he was discovered playing in an old field located in a poor village. This means that by providing facilities for all, gifted sportmen might be discovered and they can make history too.
In my opinion, as a supporter of the second view, I believe that permiting everyone to train and use sports facilities is the best way to achieve international sports. For me, winning is as essential as participation. Besides, this way leads to find natural talents among the local population, which is inspiring for others in similar circunstances.
In conclusion, although the two positions have strong arguments. I think that the one supporting facilities for all people is the one that can bring positive developments to achieve sports events. Participation and inclusiveness may help to find gifted athletes among ordinary people."
6,256,1614,51.2,5,4,25,24,5.31,1.6,14,127,0.49609375,86,0,3,23.3,14.06,6.0,Medium,,
7,301,1768,60.2,4,5,29,24,4.88,1.5,22,160,0.53156146179402,76,0,2,25.6,11.45,6.5,Medium,"Some countries achieve international sports by building specialised facilities to train top athletes, instead of providing sports facilities that everyone can use. Do you think this is positive or negative development?Discuss both views and give your opinion.","Sports is an essential part to most of us , some of us consider it a lifestyle and others consider it a job or source of income , So it's a huge part in our live.
Building specialized facilities to improve and develop athelets levels it's kind of encouragment to this category of people , and it reflects enormous benefit to them. Either by providing to them the professional training or by make them ready to international competitions. But narrowing the attention of sports to a specific category and ignore other categories actually doesn't sounds a good idea.
Athelets consider as a important part of the community but the don't cover most of it, and other people have the right to have sport facilities that suits their level and everyone whatever is it beginner or professional can use it.
Sports is a public interest that doesn't include specific people in it, and it's important to all genders and all ages, so providing facilities to specific ones can end up with unfairness results. In other hand , providing this facilities to all public people will lead to increase in sport awarness and end up with more people having healthy lifesyle.
In conclousion , according to medical facts said that's doing sport daily and make it essence in your life decreases heart attacks and raise the life quality, specified just the athelets people with sports facilities is undesireable decision. In other hand , raising the number of gyms and sports areas will conclude with healthier society."
8,361,2279,21.2,17,4,29,1,5.32,1.7,34,197,0.5457063711911357,121,0,9,12.7,13.0,8.5,Good,,
9,319,1993,19.9,16,4,36,0,5.25,1.6,37,166,0.5203761755485894,113,0,4,11.1,12.47,8.5,Good,"Some countries achieve international sports by building specialised facilities to train top athletes, instead of providing sports facilities that everyone can use. Do you think this is positive or negative development?Discuss both views and give your opinion.","International sports events require the most well-trained athletes for each country, in order to achieve this goal countries make an effort to build infrastructure designed to train top athletes. Although this policy can indeed make fewer sports facilities for ordinary people, investing in the best athletes is vital to develop competitive sports performances in each country.
On the one hand, building specific infrastructure for the best athletes is crucial in order to get better results at international sports events such as The Olympics or the World Cup. The importance of getting better results is that it creates awareness of the importance of sports in society and motivates more people to do a sport. In this way, investing in these developments can help countries to develop an integral sport policy that can benefit everyone.
On the other hand, one can argue that a negative effect could be that less infrastructure is built for the rest of the people. However, people who practice a sport in their daily life do not necessarily need some facilities to do sports. For example, people often use public spaces to do sports such as running or doing yoga at the nearest park to their home. So, for people who is not top athletes there could be some alternatives for sports facility that ,is not the case for training top athletes.
To sum up, I strongly believe countries should invest in specialised infrastructure for their best athletes because in the long term is going to generate more motivation to do sports, to invest in sports at schools and therefore to build more sports infrastructure for everyone."
10,267,1604,16.7,16,4,29,5,5.01,1.5,28,156,0.5842696629213483,77,0,4,8.6,10.9,6.5,Medium,,
11,298,1810,22.9,13,4,31,3,5.08,1.6,34,174,0.5838926174496645,85,0,6,12.2,11.78,5.5,Medium,"Some countries achieve international sports by building specialised facilities to train top athletes, instead of providing sports facilities that everyone can use. Do you think this is positive or negative development?Discuss both views and give your opinion.","Athletes to be on the top need to have high-end facilities that a country can provide for them to be able to improve their strengths and skills. Some government opted to build facilities exclusively for training athletes for international sports goals, instead of building establishments for everyone to have the liberty of using the sports facilities. From my perspective, this phenomena is a negative development.
Being able to discover an individual's potential, they need to have a support from any form of sources. Establishing sports facilities can help people to discover their own interests, talents and even skills in learning new things. Centers which offer utilities, equipments and state-of-the-art tools that provide learning sports can be a great advantage to people who want to train themselves on the things that can awaken their interests when it comes to sports.
In addition, building these kind of establishments, not only for the purpose to train top athletes, but also for people to immerse themselves to different variaties of activities can help them socialize more with their peers. This is extremely beneficial that aside from doing sports that they are into, they get to play along with peers, discover one's potential and also learning from one another. Furthermore, these individuals can also have the future to be one of top athletes that a country can have.
In conclusion, although there are countries that chose to have their sports establishments exclusively for training top athletes, I assert that these that actions can be lead to negative feedbacks. Government should allow everyone the privilege to use and avail facilities that can hone an individual's talents, skills and dexterity when it comes to sports and this can also be immensely benefical for both country and citizen alike."
12,349,2150,23.3,15,4,28,0,5.16,1.6,30,208,0.5959885386819485,111,0,9,12.4,12.42,7.0,Medium,,
13,349,2150,23.3,15,4,28,0,5.16,1.6,30,208,0.5959885386819485,111,0,9,12.4,12.42,7.0,Medium,"Some countries achieve international sports by building specialised facilities to train top athletes, instead of providing sports facilities that everyone can use. Do you think this is positive or negative development?Discuss both views and give your opinion.","It is often argued that some countries invist in devolping highly specialised training centers to train its top athletes to achieve international sports, instead of facilitate and provide public training centers for everyone to use and to practice. In my opinion i think both ideas together can contribue a very successful achievement in international sports for the country.
Building highly specialised facilities by the country to train its top athletes can help the athletes to get an apropriate training, give them the chance to progress faster and to be qualified to win or host international compititions like olympics, for example if the country invists and build a large swimming center to train professional swimmers, it is highly likely for them to win and get medals in international compititions.
On the other side providing various sport centers for the public use will encourage people to train and practice all kinds of sports more which leads to gaining more athletes to represent the country, for example allowing and giving access to a young talented girls to practice their favorite sport like football, ice skating, bascketball and more will give them the apportinety to become a professional athletes who would benifit and represent the country.
In conclusion, i think both invisting in building specialised facilities to train the top athletes to win and host an international compititions, and invisting in providing sport centers for everyone to use to encourage and build more athletes could be benificial and counribue a highly international achievement in sports for the country it self."
14,297,1839,17.5,17,4,33,5,5.2,1.6,33,167,0.5622895622895623,91,0,5,10.1,11.89,7.0,Medium,,
15,283,1745,23.6,12,4,27,7,5.17,1.5,30,165,0.5830388692579506,82,0,7,11.3,12.36,8.0,Good,"Some countries achieve international sports by building specialised facilities to train top athletes, instead of providing sports facilities that everyone can use. Do you think this is positive or negative development?Discuss both views and give your opinion.","There is some countries attain international sports by making and buliding unique specialised facilities to develop and improve top athletes, rather than providing sports facilities that anyone else can use.
In my opinion, i think that building specialised facilities to encahnce top athletes potential is essential and its such a positive development, i also think that any sports player must have a good body and eat healthy food, because a good physique can improve movement,stamina and strength etc specially in the sports that depend alot on the body as an exmaple football, basketball, table tennis, swimming etc, and healthy food helps the athlete to achieve the physique that he wants and give him even more power and activity.
builiding specialised facilities is important because they will train them specificly on certain things in order to make them the best, also they can focus on the athletes alone they are not going to be disturbed by people, every athlete with his coach, and that place only will be for the proffessnial athletes, as an example in table tennis professional players play in their clubs because they have the best enviroment to be better, they have amazing equipment such as the table the racket etc, and they have the coaches all over the place, and they can play with the players because they are all professional athletes.
additionally those player have to be very fit, all of the top players are in extremely good shape their legs are built of metal in order to help them move quick in the table and the muscules helps with stamina if they are strong they can play more without getting tired.
So yes the facilities are very helpful and crucial to reach the top and they have to follow a specific diet from the professional coaches."
16,271,1712,33.9,8,4,32,18,5.32,1.6,19,167,0.6162361623616236,86,0,4,16.5,13.7,5.0,Low,,
